obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
231, 247.2, 116042, 76397, 32718, 17734, 7193, 11421, 25734, 6602, 37, 48, 1, 293841,  1
232, 248.1, 81568, 18125, 5529, 18814, 10754, 12276, 5953, 6624, 41, 47, 0, 159643,  1
233, 250.1, 12999, 104986, 45789, 19918, 27247, 8593, 12439, 8020, 26, 50, 1, 239991,  1
234, 251.1, 16860, 25010, 17771, 7741, 13667, 24583, 10162, 7701, 47, 50, 1, 123495,  1
235, 252.2, 185876, 66761, 29504, 13136, 14211, 8626, 6503, 8241, 35, 50, 1, 332858,  1
236, 253.1, 102356, 36290, 27913, 15979, 6316, 19676, 15208, 4937, 50, 51, 1, 228675,  1
237, 254.2, 29398, 44458, 20708, 26189, 9852, 10779, 6876, 4394, 40, 50, 0, 152654,  1
238, 255.1, 12069, 6303, 5227, 4566, 8152, 5548, 6200, 2589, 37, 51, 1, 50654,  1
239, 256.1, 12059, 26845, 14049, 14641, 11354, 14219, 7807, 10593, 47, 53, 0, 111567,  1
240, 257.1, 24652, 17091, 8654, 18140, 5908, 13177, 12530, 9649, 48, 54, 0, 109801,  1
241, 258.1, 108825, 4368, 6180, 3477, 3598, 5426, 2756, 1410, 60, 54, 1, 136040,  1
242, 259.0, 4358, 27444, 4926, 9149, 7141, 12658, 10862, 4021, 57, 50, 0, 80559,  1
243, 259.0, 80456, 47658, 2609, 11355, 18686, 11764, 11929, 7369, 54, 37, 0, 191826,  1
